Text,Name,Created At,Tweet Type
"RT @usedgov : Tune in this morning at 10am ET, as @FLOTUS recognizes the 2017 School Counselor of the Year https://t.co/rOrZYMeFDe #SCOY17 #ReachHigher",First Lady- Archived,Fri Jan 06 14:09:47 +0000 2017,Retweet
"From the desk of the First Lady: ""I believe in you."" #ReachHigher https://t.co/g5uPHdmqef https://t.co/W0ZoPpLsbP",First Lady- Archived,Fri Jan 06 13:49:12 +0000 2017,Tweet
RT @attn : No one should feel discouraged from going to college. --@FLOTUS https://t.co/Z9rQGGdxDy,First Lady- Archived,Thu Jan 05 19:14:57 +0000 2017,Retweet
Join the First Lady in supporting #LetGirlsLearn as we ring in 2017: https://t.co/JUiaoKUHz4 https://t.co/x07VgHpyxk,First Lady- Archived,Sun Jan 01 04:44:10 +0000 2017,Tweet
RT @ObamaWhiteHouse : Go behind the lens with the White House photographers in this #YearInPhotos: https://t.co/ESr7xwGu73 https://t.co/aNFW6vU1zK,First Lady- Archived,Fri Dec 30 21:56:12 +0000 2016,Retweet
"RT @VICE : Tonight on a special BALLS DEEP, we follow @FLOTUS and her efforts to help homeless veterans. 10pm on @VICELAND. https://t.co/93GrNwBiwn",First Lady- Archived,Fri Dec 30 02:52:33 +0000 2016,Retweet
Tune in at 10pm ET on @VICELAND. #JoiningForces  https://t.co/vRdGpv7sYq,First Lady- Archived,Fri Dec 30 02:14:42 +0000 2016,Tweet
RT @VICE : Michelle Obama on why we need to be doing more for our veterans: https://t.co/KN6r9PrJhv https://t.co/uyNHZvadRG,First Lady- Archived,Thu Dec 29 18:55:33 +0000 2016,Retweet
May your home be filled with peace and joy. Merry Christmas! https://t.co/ZfJKus2SsV,First Lady- Archived,Sun Dec 25 16:55:52 +0000 2016,Tweet
"""I'm detecting something on the radar screen. Yes, it's Santa! -The First Lady answering the annual @NoradSanta call https://t.co/oIYhhrnn59",First Lady- Archived,Sun Dec 25 02:33:02 +0000 2016,Tweet
RT @letsmove : The year in review: Check out our top 10 favorite #LetsMove moments from 2016 → https://t.co/bjntWHwOKh https://t.co/L9dd27GLnP,First Lady- Archived,Thu Dec 22 20:44:55 +0000 2016,Retweet
"Tonight on @CBS, the First Lady sits down with @Oprah to reflect on the past eight years at the @WhiteHouse. https://t.co/AQsxtqmNIm",First Lady- Archived,Mon Dec 19 23:06:13 +0000 2016,Tweet
RT @vj44 : I am so proud of our work to advance women and girls of color. We released our final report today: https://t.co/HbAN1kTlC4 #YesSheCan,First Lady- Archived,Fri Dec 16 15:39:55 +0000 2016,Retweet
#EveryKidinaPark will continue to help kids enjoy the great outdoors for generations to come: https://t.co/t3b6oSfXjO https://t.co/KPQsfoWC4H,First Lady- Archived,Thu Dec 15 23:51:35 +0000 2016,Tweet
RT @EveryKidPark : Watch the new #EveryKidinaPark #VR experience featuring @FLOTUS and @Nolan_Gould and begin to explore outdoors at https://t.co/NWH5TtNZOw! https://t.co/ITDVA4yio5,First Lady- Archived,Thu Dec 15 23:06:24 +0000 2016,Retweet
"RT @AfAmEducation : Watch live: @WhiteHouse Event Celebrating ""Hidden Figures"" in Space Exploration https://t.co/6apBJr4SHp #STEMforALL #HiddenFigures https://t.co/TTOX6WXvio",First Lady- Archived,Thu Dec 15 19:26:10 +0000 2016,Retweet
RT @HiddenFigures : 🇺🇸+👓 #HiddenFigures🚀 #WhiteHouse https://t.co/fF5n5l7Q6N,First Lady- Archived,Thu Dec 15 19:25:58 +0000 2016,Retweet
"The First Lady speaks at @WhiteHouse #HiddenFigures event celebrating women in #STEM. 🚀

Watch live here: https://t.co/ESRQneeQro",First Lady- Archived,Thu Dec 15 19:25:08 +0000 2016,Tweet
"Good work, Christine! With today’s deadline, encourage your loved ones to sign up too. #CoverageMatters https://t.co/khBjxtnnVf",First Lady- Archived,Thu Dec 15 18:35:28 +0000 2016,Tweet
RT @ChildrensNatl : Just a little fun to get everyone in the holiday spirit as we excitedly await the arrival of @FLOTUS &amp; @RyanSeacrest! #holidaysatchildrens https://t.co/5xgIAVzoXE,First Lady- Archived,Mon Dec 12 16:55:59 +0000 2016,Retweet
"Today, the First Lady and @RyanSeacrest celebrate the holidays at @ChildrensHealth. 🎁

Join us on @Snapchat: michelleobama 💁🏽 https://t.co/5fFUAV4ojR",First Lady- Archived,Mon Dec 12 16:55:26 +0000 2016,Tweet
"You're a natural, Artyon! https://t.co/JJzxbElriK",First Lady- Archived,Mon Dec 12 15:37:15 +0000 2016,Tweet
RT @YoungInvincible : Do you want to make a #JustGetCovered video too? Check out this handy video from our friends @bigspaceship https://t.co/S6SsMHvUfo,First Lady- Archived,Sat Dec 10 18:00:44 +0000 2016,Retweet
"Listen up! You never know what will happen, so #JustGetCovered. Enroll now at https://t.co/dg57hwz5of. https://t.co/Mu3JWOTkyX",First Lady- Archived,Sat Dec 10 16:50:05 +0000 2016,Tweet
"RT @USMC : Thanks to the Marines &amp; @FLOTUS, more tots have toys this holiday season.

More info. on @ToysForTots_USA: https://t.co/trM245XtyD https://t.co/gEqoBMysJv",First Lady- Archived,Thu Dec 08 03:01:44 +0000 2016,Retweet
"So glad the ACA helps power your work, @VegucationMama. Great example of why #CoverageMatters. #GetCovered at https://t.co/8t0o29euyo today! https://t.co/wWmN7yuA5u",First Lady- Archived,Tue Dec 06 15:21:54 +0000 2016,Tweet
RT @ObamaWhiteHouse : Ever wonder what happens in a year at the White House? See for yourself with the #1600App: https://t.co/sQwsh4JGXQ https://t.co/KKOnRPlCTX,First Lady- Archived,Thu Dec 01 15:48:56 +0000 2016,Retweet
"RT @ObamaWhiteHouse : Today, @FLOTUS welcomed some of our nation's military families for a first look at the White House holiday decor. https://t.co/8asHH4KqUQ",First Lady- Archived,Wed Nov 30 01:33:36 +0000 2016,Retweet
RT @ObamaWhiteHouse : .@FLOTUS kicks off the holiday season by welcoming this year’s Official White House Christmas Tree. https://t.co/cjM9xXfZRe,First Lady- Archived,Sat Nov 26 01:04:59 +0000 2016,Retweet
'Tis the Season! 🎄 https://t.co/mDmkdLHR3w,First Lady- Archived,Sat Nov 26 01:04:50 +0000 2016,Tweet
Today and every day we have a lot to be thankful for. From our family to yours - Happy Thanksgiving. https://t.co/cIl3qYSpiW,First Lady- Archived,Thu Nov 24 18:58:35 +0000 2016,Tweet
RT @Scholastic : What's it like living in the White House? Eight Kid Reporters from @KidsPress sat down with @FLOTUS to find out! https://t.co/P2JkDG6Q8Q https://t.co/rZJdn1DanT,First Lady- Archived,Tue Nov 22 14:59:18 +0000 2016,Retweet
"Congratulations, @Nusrath_H! https://t.co/itgRkGSpQu",First Lady- Archived,Thu Nov 17 21:32:15 +0000 2016,Tweet
"Way to #GetCovered, @MakeupByRory! Check out YOUR options at https://t.co/iP0O6mA7Uo today. And keep the great stories coming! https://t.co/LpXQmDon5s",First Lady- Archived,Thu Nov 17 19:41:28 +0000 2016,Tweet
RT @ObamaWhiteHouse : .@FLOTUS welcomes community leaders from across the country to talk about our progress to #EndVeteransHomelessness: https://t.co/n0rj6Bprph,First Lady- Archived,Mon Nov 14 18:33:08 +0000 2016,Retweet
"RT @LinkedIn : This #VeteransDay, let's not only honor veterans for their past, but for all they’ve yet to achieve https://t.co/IPmbPN0RKa #HonorOurFuture https://t.co/TgHjRR8jF4",First Lady- Archived,Fri Nov 11 20:50:57 +0000 2016,Retweet
"RT @ObamaWhiteHouse : ""We’ve cut veterans' homelessness almost in half."" —@POTUS at @ArlingtonNatl Cemetery #VeteransDay https://t.co/1OoZpXrat1",First Lady- Archived,Fri Nov 11 18:19:03 +0000 2016,Retweet
From the @Cavs and the First Lady - thank you. #VeteransDay https://t.co/NsF3kB63Ll,First Lady- Archived,Fri Nov 11 16:49:21 +0000 2016,Tweet
"RT @cavs : Freezing our @WhiteHouse visit in time forever with @FLOTUS!

#MannequinChallenge 🇺🇸 https://t.co/iX1qaJ8qQQ",First Lady- Archived,Fri Nov 11 01:21:47 +0000 2016,Retweet
"Go @Cubs, go! Been rooting for you since I was a kid, and so incredibly proud tonight. #FlytheW -mo",First Lady- Archived,Thu Nov 03 04:54:28 +0000 2016,Tweet
RT @ArchDigest : .@FLOTUS and @POTUS give us a rare glimpse into their life inside the White House: https://t.co/TBqoXn4l8k https://t.co/HlnpH47KtV,First Lady- Archived,Tue Nov 01 15:49:16 +0000 2016,Retweet
Happy Halloween! 🎃 https://t.co/vZaYY6hOcY,First Lady- Archived,Tue Nov 01 01:18:32 +0000 2016,Tweet
Open enrollment starts tomorrow! Check out your options at https://t.co/dg57hwz5of and share your #GetCovered story. https://t.co/QycOVYhOz9,First Lady- Archived,Mon Oct 31 22:05:12 +0000 2016,Tweet
"""We're also celebrating the outstanding sailors who serve on it."" -The First Lady at the commissioning of the #USSIllinois.",First Lady- Archived,Sat Oct 29 15:59:38 +0000 2016,Reply
"""We're here today to commission the @USNavy's newest Virginia-class submarine: the #USSIllinois."" -The First Lady #JoiningForces 🇺🇸",First Lady- Archived,Sat Oct 29 15:56:36 +0000 2016,Tweet
