Text,Name,Created At,Tweet Type,
RT @vj44 : We lit the @WhiteHouse pink tonight to commemorate Breast Cancer Awareness Month. Make sure to enroll in #ACA starting Nov. 1 https://t.co/RGc3N8ZkRb,President Obama,Fri Oct 21 00:42:54 +0000 2016,Retweet,
Outstanding 3 for 3 debate sweep for @HillaryClinton! Nobody has ever been more prepared to be @POTUS.,President Obama,Thu Oct 20 13:31:12 +0000 2016,Tweet,
"For the loved ones we've lost and the ones we can still save, thank you Joe for putting us on the path to ending cancer as we know it. https://t.co/O0twPYcRSc",President Obama,Mon Oct 17 19:26:31 +0000 2016,Tweet,
"For a century, Planned Parenthood has made it possible for women to determine their own lives. Here's to another #100YearsStrong.",President Obama,Sun Oct 16 14:30:59 +0000 2016,Tweet,
"Clearly, we still have more to do to prevent sexual assault and the thinking that leads to it. That starts with us: https://t.co/9PRZB451fS",President Obama,Fri Oct 14 21:46:46 +0000 2016,Tweet,
"Congratulations to one of my favorite poets, Bob Dylan, on a well-deserved Nobel. https://t.co/c9cnANWPCS",President Obama,Thu Oct 13 16:05:37 +0000 2016,Tweet,
"Now this was fun. Artificial intelligence, space travel—hope you enjoy exploring new frontiers as much as I did. https://t.co/WWBUm5eJ08",President Obama,Wed Oct 12 17:16:09 +0000 2016,Tweet,
"On International #DayoftheGirl, we remain committed to providing what we all want for our daughters: a future of limitless possibility.",President Obama,Tue Oct 11 16:58:15 +0000 2016,Tweet,
"Just like Michelle says, when they go low, we go high. @HillaryClinton went high and showed why she'll be a POTUS for all Americans.",President Obama,Mon Oct 10 16:06:27 +0000 2016,Tweet,
Voted early today. Make sure you vote too: https://t.co/SUUmUADsHj https://t.co/NMesNhwsaG,President Obama,Fri Oct 07 21:40:44 +0000 2016,Tweet,
"Hurricane Matthew is as serious as it gets. Listen to local officials, prepare, take care of each other. https://t.co/Vaf8Xubs0s",President Obama,Thu Oct 06 23:17:43 +0000 2016,Tweet,
Thank you to every nation that moved to bring the Paris Agreement into force. History will judge today as a turning point for our planet.,President Obama,Wed Oct 05 20:52:38 +0000 2016,Tweet,
Bringing a little Austin to the South Lawn today. https://t.co/qCXwVI0uLH https://t.co/nTb10I3GHP,President Obama,Mon Oct 03 15:49:46 +0000 2016,Tweet,
What a win by the USA in #RyderCup. Proud to see our guys bring the trophy back home. Arnie is smiling down.,President Obama,Mon Oct 03 02:00:35 +0000 2016,Tweet,
"Gandhiji believed in a world worthy of our children. In joining the Paris Agreement, @narendramodi &amp; the Indian people carry on that legacy.",President Obama,Sun Oct 02 14:54:48 +0000 2016,Tweet,
Paid leave shouldn't be a luxury. It's a basic necessity that we should secure for every working American. https://t.co/OPeQiVPJlK,President Obama,Sat Oct 01 14:00:36 +0000 2016,Tweet,
"Our Olympians and Paralympians show the world that no matter what, with perseverance, we can do incredible things. Proud of you, #TeamUSA.",President Obama,Thu Sep 29 23:38:14 +0000 2016,Tweet,
Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,President Obama,Tue Sep 27 23:04:33 +0000 2016,Tweet,
Democracy is not a spectator sport. Don't give up your power to shape the future of the country we love. Vote: https://t.co/sUxB8TLc5r,President Obama,Tue Sep 27 16:39:35 +0000 2016,Tweet,
RT @NYTNational : Census data shows 3.5 million Americans were able to raise their chins above the poverty line last year https://t.co/FEr5eyGUrz,President Obama,Mon Sep 26 18:53:29 +0000 2016,Retweet,
"Here's to The King who was as extraordinary on the links as he was generous to others. Thanks for the memories, Arnold. https://t.co/UlyfpIBOL2",President Obama,Mon Sep 26 03:14:38 +0000 2016,Tweet,
Proud to help open @NMAAHC with so many heroes. African American history is a central part of our glorious American history.,President Obama,Sat Sep 24 14:04:52 +0000 2016,Tweet,
"Sabaidii, Laos! Honored to be the first U.S. president to visit Laos and to begin a new partnership between our countries.",President Obama,Tue Sep 06 01:30:41 +0000 2016,Tweet,
