Text,Name,Created At,Tweet Type
"I appreciate that Twitter is a platform that‘s at least *trying* to stop disinformation, verifying news outlets, etc.

Stopping misinformation isn’t abt sitting around for years debating ideas.

It’s about testing tactics, trying ideas, etc to find what’s effective. https://t.co/O213ih0Rof",Alexandria Ocasio-Cortez,Thu Aug 06 16:43:06 +0000 2020,Tweet
"RT @SenKamalaHarris : For a year, @AOC and I have worked with communities on landmark legislation to ensure that as we fight the climate crisis, we center that fight in justice and equity.

Today, we're formally introducing the Climate Equity Act in Congress. https://t.co/vG86M8Kp6j",Alexandria Ocasio-Cortez,Thu Aug 06 16:09:47 +0000 2020,Retweet
RT @errollouis : New: @NYGovCuomo has issued an extension of NY's moratorium on evictions https://t.co/XmsE3LL7Ty,Alexandria Ocasio-Cortez,Thu Aug 06 15:23:24 +0000 2020,Retweet
"RT @ChrisMurphyCT : For months, since the House passed a COVID relief bill, Democrats have been begging Republicans to negotiate with us.

They refused. McConnell sent the Senate on recess for half of July.

Now, after one single week of negotiation, they are ready to give up because it's too hard. https://t.co/x7DQMBnLS7",Alexandria Ocasio-Cortez,Wed Aug 05 22:44:43 +0000 2020,Retweet
"Two years ago, three out of the four  women running grassroots campaigns in @knockdownmovie lost their primary election.

Today, 3 out of 4 won.

If you haven’t seen it yet, you can find @CoriBush’s story in Knock Down the House on YouTube (&amp; Netflix): https://t.co/1Ql9FpDiaG https://t.co/wM8C6t6QGH",Alexandria Ocasio-Cortez,Wed Aug 05 18:17:25 +0000 2020,Tweet
"RT @RashidaTlaib : Headlines said I was the most vulnerable member of the Squad. 

My community responded last night and said our Squad is big. It includes all who believe we must show up for each other and prioritize people over profits. It’s here to stay, and it’s only getting bigger.",Alexandria Ocasio-Cortez,Wed Aug 05 15:21:30 +0000 2020,Retweet
"RT @AyannaPressley : Congresswoman, you are going to be exceptional.

Looking forward to serving with you @CoriBush https://t.co/8uWSAybJUd",Alexandria Ocasio-Cortez,Wed Aug 05 15:17:31 +0000 2020,Retweet
"Please put some respect on @RashidaTlaib’s victory last night.

She didn’t “survive” - she *overwhelmed* at the polls.

Throughout our first term, we‘ve been told our advocacy is “too much” to be re-elected.

Instead, voters supported her in huge margins.
https://t.co/ckF1I9zSBr",Alexandria Ocasio-Cortez,Wed Aug 05 15:07:47 +0000 2020,Tweet
🤓 https://t.co/mhZVvxaHiD,Alexandria Ocasio-Cortez,Wed Aug 05 14:30:01 +0000 2020,Tweet
"RT @IlhanMN : Out 👏🏽 hustle 👏🏽 everybody 👏🏽 That’s what progressives do. 💪🏽

@AOC
https://t.co/NlUvAYR0hq",Alexandria Ocasio-Cortez,Wed Aug 05 14:18:09 +0000 2020,Retweet
"Absolutely incredible.

Congratulations, @CoriBush - YOU accomplished this w/ the people of Ferguson &amp; #MO1.

You‘ve shown that the power of grassroots, mass-movement politics is stronger than gatekeepers &amp; big money - it’s about advancing the tide of justice whose time has come. https://t.co/mYOZKxitEW",Alexandria Ocasio-Cortez,Wed Aug 05 14:11:29 +0000 2020,Tweet
in a*,Alexandria Ocasio-Cortez,Tue Aug 04 23:19:40 +0000 2020,Reply
"Pretty nauseating how easily Congress rubber stamped a $4 trillion dark slush fund for Wall St as “COVID relief,” yet somehow $600 for workers in pandemic is controversial.

Up close it’s staggering how much resistance there is in Washington to actually helping people directly.",Alexandria Ocasio-Cortez,Tue Aug 04 23:18:15 +0000 2020,Tweet
