Text,Name,Created At,Tweet Type,,,
"I believe every American deserves a fair shot at success — not just the Mar-a-Lago crowd. That’s why as president, I’ll reverse Donald Trump’s giant tax giveaways to the super-wealthy and big corporations, and build an economy that works for everyone.",Joe Biden,Fri Aug 07 22:53:00 +0000 2020,Tweet,,,
It didn't have to be this bad. https://t.co/xwdxgizLLH,Joe Biden,Fri Aug 07 20:45:00 +0000 2020,Tweet,,,
"Here’s the truth—Donald Trump turned his back on the middle class long before COVID-19. He cut taxes for the super-wealthy, drove U.S. manufacturing into a recession, and stacked the deck against hardworking Americans.

It's time we pick a different path. https://t.co/rt5RD9WOGA",Joe Biden,Fri Aug 07 19:22:00 +0000 2020,Tweet,,,
Make no mistake: This economic crisis is due to President Trump’s failure to get this virus under control. https://t.co/CBbk6SV39Q,Joe Biden,Fri Aug 07 17:15:00 +0000 2020,Tweet,,,
"While I am grateful for the people who got their jobs back, my heart goes out to the more than 16 million Americans still out of work. The truth is it didn't have to be this bad, but Donald Trump failed to act. He's the one person who should lose his job. https://t.co/eIHGRjwJd3",Joe Biden,Fri Aug 07 15:45:00 +0000 2020,Tweet,,,
The truth is that President Trump could have acted months ago to curb this pandemic—it's obvious he still hasn’t learned his lesson. He continues to ignore the warnings of health experts and we're all paying the price. https://t.co/JOgA5Gpop4,Joe Biden,Fri Aug 07 11:01:21 +0000 2020,Reply,,,
"Here’s how COVID-19 affected Arizonans under the Trump—Ducey model:

- An infection rate—still—of nearly 20%
- The fifth-highest number of current hospitalizations in the country
- More than 4,000 deaths from COVID-19
- More than 183,000 cases
- Lengthy delays in test results",Joe Biden,Fri Aug 07 11:01:21 +0000 2020,Reply,,,
"Gov. Ducey is rushing reopening without adequate testing and contact tracing.

He’s withholding support for increased testing and making local leaders plead for it.

He’s refusing to implement a mask mandate and turning his back on older Americans and those at greater risk.",Joe Biden,Fri Aug 07 11:01:21 +0000 2020,Reply,,,
President Trump called Arizona “a model for applying a science-based approach to the decreasing cases and hospitalizations without implementing a punishing lockdown.” He said Governor Ducey’s approach should be used by other states—but here’s what’s really happening in Arizona:,Joe Biden,Fri Aug 07 11:01:20 +0000 2020,Tweet,,,
"My commitment to you is this: I will always listen, I will never stop fighting for the African American community and I will never stop fighting for a more equitable future.",Joe Biden,Fri Aug 07 01:03:47 +0000 2020,Reply,,,
"Throughout my career I've witnessed the diversity of thought, background, and sentiment within the African American community. It's this diversity that makes our workplaces, communities, and country a better place.",Joe Biden,Fri Aug 07 01:03:47 +0000 2020,Reply,,,
"Earlier today, I made some comments about diversity in the African American and Latino communities that I want to clarify. In no way did I mean to suggest the African American community is a monolith—not by identity, not on issues, not at all.",Joe Biden,Fri Aug 07 01:03:47 +0000 2020,Tweet,,,
"RT @TeamJoe : 🚨 BIG NEWS 🚨

We just announced our first grassroots fundraiser with Joe's VP pick!

As soon as she's announced, supporters like you have the chance to hear directly from her.

Reserve your spot by chipping in to help Joe ~ and her ~ win this election: https://t.co/Xjf2EvCzH0",Joe Biden,Fri Aug 07 00:43:53 +0000 2020,Retweet,,,
"I believe that the right to vote is the most fundamental American right there is. To protect it, we’ve got to:

- Pass the John R. Lewis Voting Rights Act
- Enact automatic and same-day voter registration
- Stand up to Republican voter suppression efforts",Joe Biden,Fri Aug 07 00:15:00 +0000 2020,Tweet,,,
John Lewis left us with marching orders. It’s up to all of us to carry them out: https://t.co/Hy8C4mIL2M https://t.co/MTc6WHNnSR,Joe Biden,Thu Aug 06 23:15:00 +0000 2020,Tweet,,,
"Every moment with your loved ones is precious. I know that in my core because I’ve learned it through loss. It's why as president, I'm going to do everything I can to get this virus under control and get our lives back to normal as soon as we can. https://t.co/qCsvryHMai",Joe Biden,Thu Aug 06 22:05:00 +0000 2020,Tweet,,,
Let me be clear: Voting is a right — not a privilege. Anyone who tells you otherwise can’t be trusted to hold the highest office in this land.,Joe Biden,Thu Aug 06 20:25:00 +0000 2020,Tweet,,,
"The fight for civil rights is what drove me to get involved in politics in the first place. It's why I fought for and helped secure a 25-year extension of the Voting Rights Act. And it's why as president, I'll immediately sign the John R. Lewis Voting Rights Act into law. https://t.co/fHqUvYahRR",Joe Biden,Thu Aug 06 18:45:00 +0000 2020,Tweet,,,
"55 years ago today, the Voting Rights Act was signed into law — bringing us one step closer to that more perfect union. As we mark its anniversary, we’ve got to continue our fight to restore the VRA and protect the sacred right to vote.",Joe Biden,Thu Aug 06 17:02:00 +0000 2020,Tweet,,,
The scenes of death and destruction from Hiroshima and Nagasaki still horrify us 75 years later. They reach through history to remind us of the hideous damage nuclear weapons can inflict—and our collective responsibility to ensure they're never again used. https://t.co/357jRzBPeL,Joe Biden,Thu Aug 06 16:24:00 +0000 2020,Tweet,,,
"If I'm elected president, our students and educators will have all the tools and resources they need to succeed and get through COVID-19. https://t.co/ul9vTTcT40",Joe Biden,Thu Aug 06 13:45:00 +0000 2020,Tweet,,,
"Donald Trump promised to bring back jobs, but his policies crushed the manufacturing sector—and that was true even before COVID-19.

I’ll revitalize American manufacturing and innovation and create millions of good-paying jobs so we can build back better. https://t.co/HrOOkWWQof",Joe Biden,Thu Aug 06 00:40:00 +0000 2020,Tweet,,,
"Growing up in Scranton, I learned the importance of hard work, treating others with dignity and respect, and leaving no one behind. Those values have guided my entire life — and they're the values I'll bring back to the White House. https://t.co/aelfrxaISg",Joe Biden,Wed Aug 05 23:45:00 +0000 2020,Tweet,,,
"Folks, a lot of you have been asking when I’m announcing my running mate, and I promise I’ll let you know soon. But here’s what I can tell you right now: I’m going to tell my supporters first — so text FIRST to 30330 to be the first to know.",Joe Biden,Wed Aug 05 23:00:00 +0000 2020,Tweet,,,
"I don’t buy for one second that the vitality of American manufacturing is a thing of the past. As president, I'll make bold investments in American manufacturing, industry, and innovation to make sure the future is made in America — by all of America. https://t.co/LkIi8g6M5i",Joe Biden,Wed Aug 05 22:30:00 +0000 2020,Tweet,,,
There's been a lot of talk about my vetting process lately. Here’s an inside look: https://t.co/tFRKJOE3hi,Joe Biden,Wed Aug 05 20:40:00 +0000 2020,Tweet,,,
"Weapons of war have no place in our communities. When I was a senator, I took on the @NRA and secured a 10-year ban on assault weapons — and as president, I’ll ban these weapons again. https://t.co/ggqSaj40EJ",Joe Biden,Wed Aug 05 19:15:00 +0000 2020,Tweet,,,
"Eight years ago, a white supremacist targeted a Sikh temple in Oak Creek, WI — ultimately taking seven lives in an unspeakable act of terror. To truly honor those we lost, it's up to all of us to stand up to bigotry in our lives, give hate no safe harbor, and reduce gun violence.",Joe Biden,Wed Aug 05 18:15:00 +0000 2020,Tweet,,,
