Text,Name,Created At,Tweet Type,,,
RT @ekrhyne : Behind the doors of this I.C.U. are some of the sickest coronavirus patients at Houston’s largest hospital. Most are Latino. Hear their stories and watch as the medical staff fights to save them. https://t.co/N5fMqu2cxX https://t.co/UsKi9q63X0,The New York Times,Tue Aug 11 15:30:19 +0000 2020,Retweet,,,
"The global food delivery company Zomato, which is based in India, will give female and transgender employees up to 10 days of leave a year for their periods. “There shouldn’t be any shame or stigma,” the firm’s CEO said, adding: “This is part of life.” https://t.co/QMXYNRUUT7",The New York Times,Tue Aug 11 15:22:08 +0000 2020,Tweet,,,
"Handshakes. Karaoke. Poker night. Blowing out the candles on your cake. The pandemic could have lasting and unexpected effects on many things we used to take for granted.
https://t.co/vvpCFdm5FJ",The New York Times,Tue Aug 11 15:00:08 +0000 2020,Tweet,,,
A Nazi symbol was discovered in the mosaic floor of a German museum. It has prompted bitter debate about the museum's creator’s past. https://t.co/rlXvHuOW6t,The New York Times,Tue Aug 11 14:40:07 +0000 2020,Tweet,,,
Concrete is responsible for about 8% of global carbon emissions. Several companies are working to create a more environmentally friendly mix. https://t.co/EyPzBsGvoP,The New York Times,Tue Aug 11 14:20:05 +0000 2020,Tweet,,,
"“People have gotten to the point where they just don’t give a damn,” said a minister in Kansas City, which is on pace for a record number of killings https://t.co/U2DkyzxlLO",The New York Times,Tue Aug 11 14:00:22 +0000 2020,Tweet,,,
"After a succession of recent moves to crack down on democracy in Hong Kong, Beijing appeared to show a little restraint and refrained from pushing out 4 of Hong Kong's opposition lawmakers https://t.co/EGmZ5wno6d",The New York Times,Tue Aug 11 13:40:06 +0000 2020,Tweet,,,
"""Thailand has been dominated by the dark power of the Death Eaters.""

Thousands of young people, borrowing from Harry Potter, are calling on the Thai army and its allies to get out of politics. https://t.co/cyzrSMpBcM",The New York Times,Tue Aug 11 13:20:04 +0000 2020,Tweet,,,
"In Opinion

""If Black people were immune to the coronavirus, their mortality rate in 2020 would still surpass white people's,"" Gus Wezerek writes. https://t.co/nne5eOhnZH",The New York Times,Tue Aug 11 13:00:11 +0000 2020,Tweet,,,
"Clearview AI has hired Floyd Abrams, a top lawyer, to help fight claims that selling its data to law enforcement agencies violates privacy laws https://t.co/RR8eubZeXP",The New York Times,Tue Aug 11 12:40:06 +0000 2020,Tweet,,,
"The British labor market recorded its largest drop in employment since 2009 last quarter, even with a vast and costly government furlough program https://t.co/bV3os0FL1F",The New York Times,Tue Aug 11 12:20:06 +0000 2020,Tweet,,,
"About three-quarters of all American voters will be eligible to receive a ballot in the mail for the 2020 election — the most in U.S. history, according to a New York Times analysis https://t.co/2JyCeSEOex",The New York Times,Tue Aug 11 12:00:07 +0000 2020,Tweet,,,
"A Russian health care regulator has become the first in the world to approve a vaccine for the coronavirus, President Vladimir Putin announced, though the vaccine has yet to complete clinical trials https://t.co/qeGMwZIIoG",The New York Times,Tue Aug 11 11:40:06 +0000 2020,Tweet,,,
"The Democratic National Convention will be anchored by nightly prime-time keynote speeches, with Michelle Obama on Monday, Jill Biden on Tuesday, Barack Obama on Wednesday, and Joe Biden's acceptance speech on Thursday. https://t.co/k2CWEnl6LW",The New York Times,Tue Aug 11 11:20:06 +0000 2020,Tweet,,,
Here's a rundown of the highlights worth watching from late-night TV https://t.co/wUiftuMEDF,The New York Times,Tue Aug 11 11:00:07 +0000 2020,Tweet,,,
"Just over a year after her tweets about mansplaining, sexperts, concern trolls and other sexist irritants went viral, Nicole Tersigni’s vision will leap from social media to print with a book, “Men to Avoid in Art and Life” https://t.co/EZpKjwy84M",The New York Times,Tue Aug 11 10:40:02 +0000 2020,Tweet,,,
"Saudi Aramco, the world’s largest oil company, said that its quarterly earnings plunged more than 73%, as lockdowns imposed to curb the coronavirus pandemic drastically cut the demand for oil and slammed prices https://t.co/87aJay2NLF",The New York Times,Tue Aug 11 10:20:06 +0000 2020,Tweet,,,
"The resignation of Lebanon's government reflected how deeply last week’s explosion — which killed more than 150 people, wounded 6,000 and left hundreds of thousands homeless — has rattled the nation. Protests in Beirut have turned areas into battle zones.  https://t.co/iBIfVPMKoe",The New York Times,Tue Aug 11 10:00:13 +0000 2020,Tweet,,,
"Breaking News: Russia approved a coronavirus vaccine, President Vladimir Putin said, amid concerns that the country is rushing the process for political purposes https://t.co/aa6DkfGQ1C",The New York Times,Tue Aug 11 09:50:31 +0000 2020,Tweet,,,
"Amazon said it was rebranding Twitch Prime, in another attempt to crack the video game market after a big-budget game effort failed https://t.co/0d6EPufCKW",The New York Times,Tue Aug 11 09:40:07 +0000 2020,Tweet,,,
"Khaled Drareni, a prominent Algerian journalist, was sentenced to 3 years in prison Monday for reporting on anti-government demonstrations. “The charges are completely empty,” his lawyer said. “He did nothing more than his work as a journalist.” https://t.co/jHJOOuWnKs",The New York Times,Tue Aug 11 09:20:06 +0000 2020,Tweet,,,
"A day after the leader of Belarus, often called “Europe’s last dictator,” claimed a landslide re-election victory, his capital slipped into mayhem as protesters barricaded streets and riot police officers beat back crowds of demonstrators https://t.co/aSRA8fTFDU",The New York Times,Tue Aug 11 09:00:09 +0000 2020,Tweet,,,
"Today Hokusai stands — for Western audiences, and in Asia too — at the pinnacle of “Japanese art.” But if you told the grandees of 19th-century Edo that Hokusai would become the most famous artist in the country’s history, they’d never believe you. https://t.co/FHIY4v5WRu",The New York Times,Tue Aug 11 08:40:03 +0000 2020,Tweet,,,
"Coventry’s cyclists aim to revive the city’s bike culture with a campaign involving health, the environment, the coronavirus pandemic and history https://t.co/5HJc3jEHxe",The New York Times,Tue Aug 11 08:20:06 +0000 2020,Tweet,,,
"England's coronavirus contact-tracing system is being overhauled, a recognition that the government's London-run approach wasn't working https://t.co/sHl0LW3idD",The New York Times,Tue Aug 11 08:00:13 +0000 2020,Tweet,,,
"Welcome to the age of the satellite megaconstellation. The FCC approved Amazon’s 3,236-satellite constellation, which aims to provide high-speed internet service around the world. https://t.co/NVnj57MySM

 https://t.co/NVnj57MySM",The New York Times,Tue Aug 11 07:40:04 +0000 2020,Tweet,,,
"Britain’s push to open schools may force it to close pubs, as well as restaurants, which reopened a few weeks ago but are increasingly viewed as among the greatest risks for spreading the virus https://t.co/jvtOnikQeJ",The New York Times,Tue Aug 11 07:20:03 +0000 2020,Tweet,,,
Europe morning briefing: Here's what you need to know to start your day https://t.co/xHUkOeMXRj,The New York Times,Tue Aug 11 07:10:01 +0000 2020,Tweet,,,
"The Seattle police chief, Carmen Best, announced her retirement on Monday night, hours after the City Council approved cuts to the police budget https://t.co/qsyj6uEnby",The New York Times,Tue Aug 11 07:00:26 +0000 2020,Tweet,,,
Video: Gov. Gavin Newsom of California said on Monday that he had accepted the resignation of the director of the state’s Department of Public Health https://t.co/9LYSI5tbTc,The New York Times,Tue Aug 11 06:40:02 +0000 2020,Tweet,,,
"In Opinion

The editorial board writes that Jimmy Lai's arrest is ""the latest and clearest signal that China intends to make full use of that sweeping new legislation to stifle free expression and undermine Hong Kong’s pro-democracy movement.""
https://t.co/hMzlTmJ5eu",The New York Times,Tue Aug 11 06:20:06 +0000 2020,Tweet,,,
"An American contractor spotted and reported the potential danger in Beirut at least 4 years ago, but U.S. officials denied they were aware of the findings until last week, after the blast https://t.co/RWznXvIGFS",The New York Times,Tue Aug 11 06:00:09 +0000 2020,Tweet,,,
"A sewing circle of 6 women found a way to stitch through the coronavirus lockdown to complete 2 AIDS quilts devoted to the memories of the artist David Wojnarowicz and his partner, Tom Rauffenbart. https://t.co/0NENsSTblu",The New York Times,Tue Aug 11 05:40:02 +0000 2020,Tweet,,,
"RT @ByMikeBaker : Seattle Police Chief Carmen Best is resigning. Here's the message she just sent to officers, hours after the Seattle City Council voted on cuts to the police department budget. https://t.co/FxUj3UiL9P",The New York Times,Tue Aug 11 05:36:18 +0000 2020,Retweet,,,
"RT @MarkLandler : Pubs or schools? Boris Johnson says the UK has a “moral duty” to reopen classrooms next month. The only way to pull that off, experts say, is to shut down indoor bars and restaurants. https://t.co/8XxcfJL4mC",The New York Times,Tue Aug 11 05:20:06 +0000 2020,Retweet,,,
"England will overhaul its faltering coronavirus contact-tracing system, the government said on Monday, diverting resources to local public health teams and cutting thousands of call center jobs where workers had complained of having no one to call. https://t.co/1lxaw5mie1",The New York Times,Tue Aug 11 05:00:10 +0000 2020,Tweet,,,
"Despite a drastic decrease in airplane passengers because of the coronavirus pandemic, the rate of U.S. customers illegally transporting firearms in carry-on bags was 3 times as high in July as it was during the same month last year https://t.co/lRUSa3TRKs",The New York Times,Tue Aug 11 04:40:03 +0000 2020,Tweet,,,
"RT @nytopinion : Vanishing anxiety. Cleared-up acne. New hobbies. Freedom from bullying. Virtual school is difficult for parents, but some kids are thriving, writes @iproposethis. https://t.co/Omt8CieF4Y",The New York Times,Tue Aug 11 04:20:05 +0000 2020,Retweet,,,
"100 years ago, Mamie Smith recorded “Crazy Blues,” a breakthrough hit that paved the way for African-American women as mainstream recording artists and fans with clout. https://t.co/zeC3CZnffv",The New York Times,Tue Aug 11 04:00:08 +0000 2020,Tweet,,,
"RT @SominiSengupta : A construction worker in North India. A farmer in Guatemala's Dry Corridor. A family struggling to pay the bills in steamy Houston. These are some of the women and men who are most vulnerable to global warming.

https://t.co/0BT2rGCGzA",The New York Times,Tue Aug 11 03:40:03 +0000 2020,Retweet,,,
"Unusually powerful storms ripped through parts of the Midwest on Monday, knocking out power for about one million customers https://t.co/bopbLFGLlh",The New York Times,Tue Aug 11 03:30:12 +0000 2020,Tweet,,,
Governors across the U.S. struggled with how to make good on President Trump’s order that their economically battered states deliver billions more in unemployment benefits to jobless residents https://t.co/dxNoJjaM9H,The New York Times,Tue Aug 11 03:20:03 +0000 2020,Tweet,,,
"RT @anniekarni : Mr. Trump and his aides, however, have barely blinked at the possibility of Hatch Act violations — and some even refer to racking them up as a point of pride.

https://t.co/9SOAgS7kBG",The New York Times,Tue Aug 11 03:00:07 +0000 2020,Retweet,,,
"Public protests in the U.S. have become increasingly personal — and for some civic leaders, frightening. In some cities, demonstrators have begun showing up at officials’ homes with bullhorns, spray paint, eggs and paintballs. https://t.co/cEx1muoVsc",The New York Times,Tue Aug 11 02:40:03 +0000 2020,Tweet,,,
"RT @davidenrich : Interesting new details emerging about the @McDonalds sex scandal.

• It first came to light last fall when the woman who was sexting and FaceTiming with the CEO informed the company. She worried *she* would end up getting punished for the relationship. https://t.co/3hox2fz5KH",The New York Times,Tue Aug 11 02:20:05 +0000 2020,Retweet,,,
"The EPA approved nootkatone, which is found in cedar trees and grapefruits. It repels ticks, mosquitoes and other dangerous bugs for hours. https://t.co/u5J29YFvcz",The New York Times,Tue Aug 11 02:00:04 +0000 2020,Tweet,,,
RT @TylerKepner : On Baseball: Rob Manfred on the results and the risks of playing in the pandemic — and hints at “contingency planning” for the postseason https://t.co/xNbOzqnBld,The New York Times,Tue Aug 11 01:40:07 +0000 2020,Retweet,,,
"Anger and anxiety endured for some 120,000 customers, mostly in New York and Connecticut, who remained without electricity after Tropical Storm Isaias, according to tallies from utility companies https://t.co/OUsfKn1Gge",The New York Times,Tue Aug 11 01:20:06 +0000 2020,Tweet,,,
"RT @anniekarni : Trump's proud return to the briefing room after a shooting near the WH was sort of a reverse-bunker. 

https://t.co/gSqwlgF12p",The New York Times,Tue Aug 11 01:00:05 +0000 2020,Retweet,,,
"Gov. Gretchen Whitmer is suddenly on Joe Biden’s vice presidential shortlist. Her supporters are excited, but don’t want to lose her in Michigan. “Selfishly, we need her here,” one Democratic activist said. https://t.co/Hw0J1Z9215",The New York Times,Tue Aug 11 00:40:02 +0000 2020,Tweet,,,
"RT @NYTSports : The Rangers won the top pick in the 2020 N.H.L. draft and are expected to take Alexis Lafreniere, a dazzling wing from Quebec who draws Sidney Crosby comparisons. https://t.co/LvfInbgbGb https://t.co/blF7gclzs7",The New York Times,Tue Aug 11 00:20:06 +0000 2020,Retweet,,,
"Joe Biden has finished interviewing running-mate candidates, and his search committee is said to be disbanding, signaling an imminent announcement https://t.co/i7zMUkyvuy",The New York Times,Tue Aug 11 00:00:03 +0000 2020,Tweet,,,
"RT @katieglueck : new and news from Wilmington: Biden's VP pick is said to be imminent. his search committee process is complete, and now it's up to him to make a final call. w/ @alexburnsNYT @jmartNYT 

(with the caveat, as always, that timing with Biden is often fluid!)
 https://t.co/8GgtrnJX39",The New York Times,Mon Aug 10 23:48:05 +0000 2020,Retweet,,,
Evening Briefing: Here's what you need to know at the end of the day https://t.co/f1z6fMbmfr,The New York Times,Mon Aug 10 23:40:06 +0000 2020,Tweet,,,
"RT @TheSteinLine : For @NYTSports:  @StephenCurry30 and I visit about his ""major FOMO"" watching the NBA Bubble, his summer plans as @sdotcurry Fan Club president, Golden State's title window and, of course, his bucket-list PGA Championship ride following @collin_morikawa: https://t.co/LwBm1XqOZC",The New York Times,Mon Aug 10 23:20:01 +0000 2020,Retweet,,,
What do you do when it’s really hot out in a pandemic? Here are some tips to make your airflow a bit safer. https://t.co/iJLzGPBnuy,The New York Times,Mon Aug 10 23:00:05 +0000 2020,Tweet,,,
"Prime Minister Boris Johnson said it was a “moral duty” to fully open Britain’s schools next month. But with coronavirus cases already rising slightly, that might mean closing pubs and restaurants, medical experts said. https://t.co/Fj9gkfl83q",The New York Times,Mon Aug 10 22:40:05 +0000 2020,Tweet,,,
"RT @jessicabennett : Does Katie Hill regret stepping down? No. Does she know she made a big mistake? Yes. Is she done with politics? Definitely not. 

My profile of the former congresswoman, who resigned after nude photos revealed a relationship with a young campaign staffer.

https://t.co/OHQh0hFKbV",The New York Times,Mon Aug 10 22:20:02 +0000 2020,Retweet,,,
"A praying mantis chews off a gecko’s face. A spider snares a songbird in its web. Fire ants overrun a baby alligator. A new scientific review identifies about 1,300 examples of bugs moving up the food chain. https://t.co/W7hj5cFfAd",The New York Times,Mon Aug 10 22:00:13 +0000 2020,Tweet,,,
Breaking News: President Trump is considering allowing border officials to temporarily block Americans suspected of having the coronavirus from returning to the U.S. https://t.co/f9ENuNMtGH https://t.co/BtPkDVbIrc,The New York Times,Mon Aug 10 21:43:40 +0000 2020,Tweet,,,
"Even members of his own staff worry whether Dr. Stephen Hahn, head of the Food and Drug Administration, can protect the agency from political pressure as it decides what treatments are approved for Covid-19 and whether a new vaccine is safe. https://t.co/tLBZI6kYyM",The New York Times,Mon Aug 10 21:30:07 +0000 2020,Tweet,,,
"Competition for New York’s streets is nothing new but the pandemic has emboldened more people than ever to stake their claim to a piece of asphalt and force a sweeping reimagining of the urban grid
https://t.co/UgjVAJq68q",The New York Times,Mon Aug 10 21:20:03 +0000 2020,Tweet,,,
"Breaking News: The EPA plans this week to lift Obama-era controls on methane, a potent greenhouse gas. It's the Trump administration's latest effort to weaken environmental rules. https://t.co/KvJ2n5e6S2",The New York Times,Mon Aug 10 21:07:13 +0000 2020,Tweet,,,
"An ode to sweet and sour tamarind from the cookbook author Nik Sharma
https://t.co/vPXdKFTVDK",The New York Times,Mon Aug 10 21:00:18 +0000 2020,Tweet,,,
"Airlines and oil refineries face their biggest crises in modern times. Delta, which bought its own refinery in 2012 as a hedge against rising fuel prices, has been hit extra hard. https://t.co/seE7i00Yot",The New York Times,Mon Aug 10 20:40:02 +0000 2020,Tweet,,,
"As Joe Biden inches closer to announcing his vice presidential running mate, questions about ambition have reignited another tired debate about double standards for women in politics, writes @jessicabennett https://t.co/lgOlrJuy2l",The New York Times,Mon Aug 10 20:20:04 +0000 2020,Tweet,,,
