Text,Name,Created At,Tweet Type
"The US tops 5 million recorded Covid-19 cases. As of this week, five states account for more than 40% of the nation's infections.
 https://t.co/PYJsDTXDcY",CNN Breaking News,Sun Aug 09 14:39:47 +0000 2020,Tweet
Top White House economic adviser Larry Kudlow says the administration expects states to be able to cover the portion of enhanced unemployment benefits that Trump ordered through executive action https://t.co/ugvkXqQf9F https://t.co/tKT40xWd9A,CNN Breaking News,Sun Aug 09 13:47:34 +0000 2020,Tweet
"An earthquake that hit about 2 miles from the town of Sparta, North Carolina, around 8:07 a.m. ET was felt as far away as South Carolina and Georgia https://t.co/u0KjTs5Yai",CNN Breaking News,Sun Aug 09 13:15:42 +0000 2020,Tweet
White House economic adviser Larry Kudlow and House Speaker Nancy Pelosi talk to Dana Bash after Trump signs executive actions on coronavirus relief. Follow live updates: https://t.co/0oaTI8Gho0,CNN Breaking News,Sun Aug 09 13:05:30 +0000 2020,Tweet
"One person is dead and at least nine people were taken to nearby hospitals after an overnight shooting in Washington, DC, authorities told CNN https://t.co/zpldb0ucIM",CNN Breaking News,Sun Aug 09 08:43:05 +0000 2020,Tweet
"Six people were injured in a Philadelphia shooting Saturday night, including a pregnant woman, police say https://t.co/iXeCfp38Wh",CNN Breaking News,Sun Aug 09 05:02:17 +0000 2020,Tweet
"President Trump signs executive orders, including $400 in unemployment benefits, that he says will boost the economy, but legal challenges are expected
https://t.co/m7DKkY4tEp https://t.co/rbnqV9akZJ",CNN Breaking News,Sat Aug 08 21:19:31 +0000 2020,Tweet
"Ohio Gov. Mike DeWine says he and his wife test negative for Covid-19 for a second time after getting a false positive 
https://t.co/xQY1uYKlPz https://t.co/q72zUMgfT9",CNN Breaking News,Sat Aug 08 20:19:26 +0000 2020,Tweet
"The remains of a construction worker have been recovered from the collapsed Hard Rock hotel in New Orleans 10 months after the disaster. Another body is still in the wreckage. 
https://t.co/aDTc0BXd3h",CNN Breaking News,Sat Aug 08 18:56:13 +0000 2020,Tweet
Thousands of demonstrators pour into Beirut's Martyr's Square to demand government accountability after Tuesday's blast which ripped through the city killing more than 150 people https://t.co/VW4ZpZyFCQ,CNN Breaking News,Sat Aug 08 14:58:46 +0000 2020,Tweet
"Two bystanders were killed Friday and two more injured by a suspect vehicle in a high-speed chase, police say https://t.co/gShEdUdUw9",CNN Breaking News,Sat Aug 08 12:57:18 +0000 2020,Tweet
"Former Dallas police officer Amber Guyger, who killed an unarmed Black man in his own apartment -- saying she thought it was her own residence -- has appealed her 10-year prison sentence
https://t.co/NbePeLuHTn",CNN Breaking News,Sat Aug 08 01:50:13 +0000 2020,Tweet
