Text,Name,Created At,Tweet Type
"Left wing group mails 587,638 erroneous absentee ballot applications to Virginia voters https://t.co/nA5K5XyrMV via @mercuryvirginia",Sean Spicer,Sat Aug 08 21:37:55 +0000 2020,Tweet
I cant wait to see which Democrat sues to stop @POTUS @realDonaldTrump from providing relief to Americans in need ....I’m betting someone who is retiring and knows they will never run again,Sean Spicer,Sat Aug 08 21:10:11 +0000 2020,Tweet
"As much as @maureendowd and @nytimes may want to forget it @HillaryClinton and @timkaine ran last cycle - although if you live in Wisconsin you may not have known it

https://t.co/3qUXU7lx4T",Sean Spicer,Sat Aug 08 21:07:54 +0000 2020,Tweet
The action on DACA by the Obama Administration set the precedent for this kind of Executitve Action,Sean Spicer,Sat Aug 08 21:05:21 +0000 2020,Tweet
"RT @AriFleischer : “Do not expect this to be the last time Biden makes a gaffe involving race. But do expect the corporate media to use all their power to protect him when he does. The question is, will that power be enough?” https://t.co/iAkOASPKNk",Sean Spicer,Sat Aug 08 20:16:20 +0000 2020,Retweet
RT @JudsonSapp : Preparing for my interview on @newsmax @seanspicer #BackTheBlue #GatorBait https://t.co/4KTHvOs1aP,Sean Spicer,Sat Aug 08 19:19:58 +0000 2020,Retweet
Sources confirm that the RNC is about to drop a boatload of oppo on @pdoocy,Sean Spicer,Sat Aug 08 18:42:51 +0000 2020,Tweet
".@nytimes  panned after op-ed claims it's been '36 years' since a man and woman ran together on Dem ticket
(Hint, it was last cycle)
https://t.co/3qUXU7lx4T",Sean Spicer,Sat Aug 08 18:41:35 +0000 2020,Tweet
watching @adamcarolla on @GovMikeHuckabee show on @newsmax now &amp; notes that #NoSafeSpaces documentary about free speech with @DennisPrager was number 1 in the nation last year but @netflix refuses to carry it...its amazing how scared they are of viewers seeing an alternative view,Sean Spicer,Sat Aug 08 17:36:27 +0000 2020,Tweet
"Media offer a glimpse of what journalism will look like under President Biden: Subservient
via @BecketAdams @dcexaminer 
https://t.co/73gisav87s",Sean Spicer,Sat Aug 08 02:54:04 +0000 2020,Tweet
"An Autopsy of New York’s Mail-Vote Mess
via @WSJopinion 
https://t.co/dNV0eyU8l8",Sean Spicer,Sat Aug 08 02:23:04 +0000 2020,Tweet
"MSNBC producer (@kylegriffin1) ripped for tweet on Russia's election push for Trump that ignores China and Iran's hopes for Biden

https://t.co/UOB68CUnb3",Sean Spicer,Fri Aug 07 23:13:53 +0000 2020,Tweet
RT @seanspicer : I asked @seanhannity if he could have had the success story he does if he were a young person now and Joe Biden won the election -- WATCH: https://t.co/hkPXetSG6a https://t.co/fpgkIBDeQA,Sean Spicer,Fri Aug 07 15:29:30 +0000 2020,Retweet
".@CNN ‘s John King appears to defend @JoeBiden over former VP's 'diversity' remarks
Via @FoxNews 
https://t.co/GBNPrjSa7j",Sean Spicer,Fri Aug 07 11:22:20 +0000 2020,Tweet
"RT @RepLeeZeldin : Last year, I was the first House member to call for a CFIUS review of TikTok. Protecting the data of Americans from the Chinese Communist Party must be a top priority. Grateful of President Trump taking this issue so seriously and acting in a big way to protect US citizens!",Sean Spicer,Fri Aug 07 10:33:09 +0000 2020,Retweet
Thank you @POTUS @realDonaldTrump  these are threats to our national security - Trump issues executive orders against TikTok and WeChat https://t.co/ivHNm17yhE via @politico,Sean Spicer,Fri Aug 07 02:27:52 +0000 2020,Tweet
"RT @seanspicer : How does someone like @seanhannity live such a high profile life and have such a public facing career, yet maintain his privacy? 

WATCH: https://t.co/UsWvmjipHj https://t.co/v24MH2ZYy2",Sean Spicer,Fri Aug 07 02:19:53 +0000 2020,Retweet
"RT @KerriKupecDOJ : That time you’re driving in Virginia and the Attorney General spots a group of people in front of a police precinct showing their support for the police. 

AG to FBI Detail: “Can we make a quick U-Turn? I want to jump out and thank those people.” 

Watch! #SoundOn 🇺🇸🇺🇸🇺🇸 https://t.co/3atSicAgdC",Sean Spicer,Fri Aug 07 02:00:19 +0000 2020,Retweet
"RT @KatrinaPierson : Hmm, what exactly did you mean by “notable exceptions” then? 🤔 https://t.co/c9X0VNA7w2",Sean Spicer,Fri Aug 07 01:58:43 +0000 2020,Retweet
"RT @DanCrenshawTX : Teen Vogue publishes oped that says we should abolish private property rights...along with those pesky police. 

Just wondering if anyone sees any issues with our next generation reading Marxist propaganda in popular teen magazines...? https://t.co/yWyPLq937x",Sean Spicer,Fri Aug 07 01:58:25 +0000 2020,Retweet
"Ahead of Joe Biden's #VP pick @MarkHalperin did a focus group on his potential picks... don't miss more of that and who myself, Mark @LyndsayMKeith, and @VinceCoglianese expect to see him pick: https://t.co/nmHP1ki7P8 https://t.co/QJDlwFFLQE",Sean Spicer,Thu Aug 06 23:14:06 +0000 2020,Tweet
The media continues to give Joe Biden's racially insensitive comments a pass - @KatrinaPierson of @TeamTrump joins us to discuss his latest https://t.co/CyRcBCesqB https://t.co/QwuP8UkWlr,Sean Spicer,Thu Aug 06 23:09:02 +0000 2020,Tweet
"""Its not NRA members who are revolting against law enforcement and committing these crimes, its the criminals who are doing these activities"" -- @RepLeeZeldin Are the claims against the @NRA just political theatre? 

Watch: https://t.co/99j2959p7h https://t.co/V1wFSq2b07",Sean Spicer,Thu Aug 06 23:00:34 +0000 2020,Tweet
"How does someone like @seanhannity live such a high profile life and have such a public facing career, yet maintain his privacy? 

WATCH: https://t.co/UsWvmjipHj https://t.co/v24MH2ZYy2",Sean Spicer,Thu Aug 06 22:55:00 +0000 2020,Tweet
I asked @seanhannity if he could have had the success story he does if he were a young person now and Joe Biden won the election -- WATCH: https://t.co/hkPXetSG6a https://t.co/fpgkIBDeQA,Sean Spicer,Thu Aug 06 22:36:39 +0000 2020,Tweet
"RT @newsmax : PROGRAM ALERT 🚨:

• Top rated TV host @seanhannity and Trump 2020 advisor @KatrinaPierson join @seanspicer at 6:00 PM ET
• @gregkellyusa welcomes @RudyGiuliani, @Jim_Jordan and more at 7:00

ONLY ON Newsmax TV. WATCH LIVE: https://t.co/VlT7z8drtO https://t.co/gtIh1c1wg0",Sean Spicer,Thu Aug 06 19:32:37 +0000 2020,Retweet
".@CNN avoids on-air coverage of @JoeBiden's 'Are you a junkie?' remark about taking a cognitive test
-- we are going to discuss this tonight at 6pm on @newsmax 
https://t.co/riDC6y2dxt",Sean Spicer,Thu Aug 06 17:11:33 +0000 2020,Tweet
.@seanhannity is joining #spicerandco on @newsmax tonight at 6pm to discuss his new book Live Free or Die,Sean Spicer,Thu Aug 06 16:41:31 +0000 2020,Tweet
".@JoeBiden : Illegal Immigrants Should Have Access To The Same Benefits “Everyone Else Has Access Too""
https://t.co/afR5bhtyvn",Sean Spicer,Thu Aug 06 14:22:22 +0000 2020,Tweet
"RT @realDonaldTrump : How can voters be sending in Ballots starting, in some cases, one month before the First Presidential Debate. Move the First Debate up. A debate, to me, is a Public Service. Joe Biden and I owe it to the American People!",Sean Spicer,Thu Aug 06 13:56:51 +0000 2020,Retweet
"Democrats Are In Willful Denial About #Antifa
via @charliekirk11 in @DailyCaller 
https://t.co/alldqQgjpF",Sean Spicer,Thu Aug 06 02:46:24 +0000 2020,Tweet
"for two years during high school I told my parents taking Latin would never serve a purpose.....I guess they were right  
“It was a heated discussion,” @SenSchumer said, adding that the demand is a “sine qua non for us. We told that to the postmaster.”",Sean Spicer,Thu Aug 06 02:37:47 +0000 2020,Tweet
"Under @realDonaldTrump foster youth are no longer forgotten
via @Alyssafarah 
https://t.co/BOmYJKJLvm",Sean Spicer,Thu Aug 06 02:28:06 +0000 2020,Tweet
Must watch-- @VP expresses disappointment in Chief Justice John Roberts because of recent rulings https://t.co/xevEeBtxzB,Sean Spicer,Thu Aug 06 02:04:36 +0000 2020,Tweet
"RT @DavidBrodyCBN : EXCLUSIVE: Vice President Mike Pence calls out Supreme Court Chief Justice John Roberts by name. He says, ""Chief Justice Roberts has been a disappointment to conservatives."" Watch from my interview with @VP in Florida today. Full report on @700club Thursday + clips on @CBNNews https://t.co/z6IANVONr5",Sean Spicer,Thu Aug 06 02:03:23 +0000 2020,Retweet
"love this column by @TimJGraham of @theMRC - @JoeBiden Backers Terrified of Debates
 
best part is how @cnn @brianstelter pretends the right makes up something started by the left on his own network 
https://t.co/STPCVZ9s7E",Sean Spicer,Thu Aug 06 02:00:05 +0000 2020,Tweet
"Fresh off his big win in the Kansas Senate Republican Primary @RogerMarshallMD joins us to discuss his victory -- 

WATCH: https://t.co/um4wTHElVO https://t.co/s3KeqJZm0O",Sean Spicer,Thu Aug 06 01:42:20 +0000 2020,Tweet
"They are disputing it, @washingtonpost was wrong https://t.co/n4gV6sRd7p",Sean Spicer,Thu Aug 06 01:05:31 +0000 2020,Tweet
